         1310224 function calls (1295341 primitive calls) in 2.278 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
      900    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(angle)
       31    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
     1800    0.002    0.000    0.038    0.000 <__array_function__ internals>:2(append)
      252    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
     1801    0.002    0.000    0.008    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
     8100    0.008    0.000    0.076    0.000 <__array_function__ internals>:2(diag)
     3600    0.003    0.000    0.049    0.000 <__array_function__ internals>:2(interp)
    27000    0.025    0.000    0.576    0.000 <__array_function__ internals>:2(inv)
     3600    0.003    0.000    0.010    0.000 <__array_function__ internals>:2(iscomplexobj)
       31    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
     1800    0.002    0.000    0.015    0.000 <__array_function__ internals>:2(ravel)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
     1800    0.002    0.000    0.027    0.000 <__array_function__ internals>:2(sum)
 1335/253    0.002    0.000    0.352    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      686    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      360    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      360    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      360    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      686    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      361    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      326    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    448/6    0.000    0.000    0.494    0.082 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     3569    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      312    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
